,words,count
409,appetizers,926
410,walked,925
411,impressed,924
412,although,920
413,room,919
414,guys,918
415,sprouts,917
416,hands,915
417,recommended,907
418,beef,907
419,thick,902
420,today,902
421,incredible,901
422,start,900
423,use,900
424,fine,899
425,quickly,898
426,313,898
427,seems,898
428,already,895
429,stopped,894
430,offer,891
431,saturday,889
432,warm,888
433,thank,886
434,havent,884
435,clean,882
436,leave,877
437,simple,876
438,spicy,875
439,party,869
440,added,869
441,wow,869
442,eaten,868
443,option,867
444,often,862
445,yelp,862
446,joint,858
447,spinach,854
448,meatballs,853
449,expect,851
450,6,849
451,gets,848
452,wife,848
453,south,848
454,cute,847
455,ricotta,843
456,items,842
457,15,838
458,hit,837
459,hungry,836
460,ended,832
461,roasted,822
462,visiting,820
463,orders,819
464,bartender,818
465,authentic,817
466,honestly,817
467,belly,816
468,plate,816
469,kitchen,815
470,6th,812
471,variety,811
472,water,809
473,serve,808
474,reservation,806
475,totally,806
476,fact,806
477,anyone,806
478,sow,806
479,friday,805
480,counter,804
481,basil,804
482,soft,801
483,portion,801
484,truck,798
485,customers,798
486,margarita,791
487,crisp,790
488,packed,790
489,mushroom,789
490,beautiful,787
491,mozzarella,787
492,trip,783
493,money,782
494,believe,782
495,life,779
496,youll,776
497,eggs,773
498,online,766
499,entire,765
500,four,764
501,saw,764
502,heard,763
503,30,762
504,seriously,761
505,needed,758
506,12,756
507,loud,750
508,pay,749
509,share,747
510,thanks,745
511,gluten,743
512,choice,741
513,days,737
514,weve,735
515,available,733
516,tip,733
517,please,731
518,literally,729
519,across,726
520,egg,725
521,mind,723
522,chewy,723
523,greasy,721
524,dressing,713
525,taking,712
526,twice,712
527,olive,711
528,glass,711
529,knots,709
530,average,708
531,weekend,707
532,short,706
533,delivered,705
534,working,701
535,tastes,701
536,ago,697
537,expensive,695
538,casual,694
539,given,694
540,meatball,689
541,priced,689
542,guess,688
543,early,684
544,crowded,683
545,seem,682
546,45,680
547,surprised,678
548,together,678
549,outstanding,677
550,choose,675
551,cheap,674
552,expected,673
553,tomatoes,671
554,employees,669
555,world,669
556,bland,668
557,reasonable,668
558,peppers,663
559,cream,663
560,crunchy,663
561,year,660
562,truly,660
563,sunday,658
564,slow,657
565,mushrooms,657
566,looks,656
567,rude,656
568,deep,656
569,pricey,656
570,dry,655
571,honey,654
572,specials,654
573,excited,653
574,near,652
575,mouth,651
576,job,650
577,portions,650
578,oil,650
579,offered,647
580,vegan,645
581,classic,645
582,phone,644
583,rather,643
584,deli,642
585,along,639
586,main,639
587,birthday,639
588,problem,638
589,remember,637
590,unfortunately,637
591,ice,631
592,shared,631
593,decor,631
594,behind,630
595,interesting,629
596,man,627
597,pinthouse,626
598,forward,626
599,completely,621
600,lovely,620
601,stuff,619
602,north,619
603,boyfriend,617
604,rest,616
605,plates,615
606,split,614
607,sometimes,614
608,others,613
609,recently,613
610,homemade,612
611,type,612
612,tap,612
613,slightly,611
614,wings,610
615,servers,608
616,knew,607
617,brussels,604
618,due,603
619,past,602
620,choices,596
621,prepared,596
622,show,595
623,eggplant,594
624,terrible,593
625,corner,591
626,die,589
627,brussel,589
628,chocolate,588
629,werent,588
630,yum,586
631,mean,585
632,tonight,584
633,craving,582
634,opened,581
635,deviled,581
636,topping,580
637,perfection,578
638,giving,577
639,easily,575
640,single,575
641,immediately,575
642,congress,575
643,hotel,574
644,gem,572
645,run,572
646,hope,570
647,damn,566
648,spots,566
649,true,564
